,Shape,Dtype,Dtype range,Actual range,Mean,Median,Laplace std,Otsu threshold,Pixels above otsu,Pixels below otsu,Percentage above otsu,mode
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile10.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3737)",293.239278,144.0,0.001486446238879512,518.216796875,795028,3204972,19.8757,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile19.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2254)",111.2944645,0.0,0.001055786364957882,206.91015625,1054632,2945368,26.3658,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile20.tif","(2000, 2000)",uint16,"(0, 65535)","(170, 2823)",455.01741925,416.0,0.001983904909250478,610.439453125,419731,3580269,10.493275,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile21.tif","(2000, 2000)",uint16,"(0, 65535)","(105, 3029)",460.09266375,445.0,0.001981781983373462,647.5390625,298777,3701223,7.469425,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile22.tif","(2000, 2000)",uint16,"(0, 65535)","(116, 3195)",453.30979425,442.0,0.0019499644814383306,651.216796875,287841,3712159,7.196025000000001,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile23.tif","(2000, 2000)",uint16,"(0, 65535)","(86, 4095)",498.771724,485.0,0.002102107680414972,532.314453125,1563023,2436977,39.075575,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile24.tif","(2000, 2000)",uint16,"(0, 65535)","(230, 4095)",653.22556925,614.0,0.0024220420599383717,916.943359375,257434,3742566,6.43585,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile25.tif","(2000, 2000)",uint16,"(0, 65535)","(265, 4095)",665.89928025,630.0,0.0024638985458549077,870.91796875,345593,3654407,8.639825,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile26.tif","(2000, 2000)",uint16,"(0, 65535)","(103, 4095)",705.1546655,684.0,0.0025948627826165604,781.328125,1216326,2783674,30.40815,good
"good_Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile28.tif","(2000, 2000)",uint16,"(0, 65535)","(220, 4095)",614.1182025,578.0,0.0022727086723569718,817.900390625,392040,3607960,9.801,good
