mode,name,Shape,Dtype,Dtype range,Actual range,Mean,Median,Laplace std,Otsu threshold,Pixels above otsu,Pixels below otsu,Percentage above otsu
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile1.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile10.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3737)",293.239278,144.0,0.001486446238879512,518.216796875,795028,3204972,19.8757
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile100.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile101.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3841)",92.4464215,0.0,0.0007790639262666465,1147.798828125,56696,3943304,1.4174
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile102.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4028)",386.420696,152.0,0.0018018860799058384,810.3203125,656989,3343011,16.424725000000002
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile103.tif","(2000, 2000)",uint16,"(0, 65535)","(24, 4095)",749.91558325,742.0,0.0026160807346654897,906.580078125,1362786,2637214,34.06965
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile104.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",243.111764,0.0,0.0014981794014878316,1095.732421875,354505,3645495,8.862625
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile105.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile106.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile107.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile108.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile109.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile11.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",164.47456725,135.0,0.000891859374997061,567.861328125,129509,3870491,3.237725
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile110.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile111.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile112.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile113.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile114.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile115.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile116.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile117.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 258)",51.78367025,0.0,0.00042901161033654457,63.99609375,1601879,2398121,40.046975
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile118.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 265)",86.6983565,118.0,0.0005398915517820824,64.697265625,2686536,1313464,67.1634
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile119.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 292)",34.3666805,0.0,0.00035814130854690306,66.7265625,1022590,2977410,25.564750000000004
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile12.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2050)",134.59381275,133.0,0.000688623357089083,460.44921875,4259,3995741,0.106475
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile120.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile13.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",259.86241725,141.0,0.0013728821602608248,519.873046875,631562,3368438,15.78905
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile14.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",260.08309725,141.0,0.0014133994809207638,983.759765625,190988,3809012,4.7747
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile15.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 1194)",46.8263125,0.0,0.00043316884408783966,72.29296875,1294924,2705076,32.3731
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile16.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 281)",0.658662,0.0,6.786267503982624e-05,0.548828125,13908,3986092,0.3477
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile17.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 331)",14.5890305,0.0,0.0002526495327352547,79.517578125,365964,3634036,9.1491
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile18.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 1905)",42.509901,0.0,0.000687984124108856,249.287109375,322343,3677657,8.058575
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile19.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2254)",111.2944645,0.0,0.001055786364957882,206.91015625,1054632,2945368,26.3658
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile2.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0
good,"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile20.tif","(2000, 2000)",uint16,"(0, 65535)","(170, 2823)",455.01741925,416.0,0.001983904909250478,610.439453125,419731,3580269,10.493275
