,Shape,Dtype,Dtype range,Actual range,Mean,Median,Laplace std,Otsu threshold,Pixels above otsu,Pixels below otsu,Percentage above otsu,mode
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile1.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile10.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3737)",293.239278,144.0,0.001486446238879512,518.216796875,795028,3204972,19.8757,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile100.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile102.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4028)",386.420696,152.0,0.0018018860799058384,810.3203125,656989,3343011,16.424725000000002,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile103.tif","(2000, 2000)",uint16,"(0, 65535)","(24, 4095)",749.91558325,742.0,0.0026160807346654897,906.580078125,1362786,2637214,34.06965,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile104.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",243.111764,0.0,0.0014981794014878316,1095.732421875,354505,3645495,8.862625,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile105.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile106.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile107.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile108.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile109.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile11.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",164.47456725,135.0,0.000891859374997061,567.861328125,129509,3870491,3.237725,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile110.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile111.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile113.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile115.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile116.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile119.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 292)",34.3666805,0.0,0.00035814130854690306,66.7265625,1022590,2977410,25.564750000000004,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile120.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile13.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",259.86241725,141.0,0.0013728821602608248,519.873046875,631562,3368438,15.78905,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile17.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 331)",14.5890305,0.0,0.0002526495327352547,79.517578125,365964,3634036,9.1491,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile2.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile26.tif","(2000, 2000)",uint16,"(0, 65535)","(103, 4095)",705.1546655,684.0,0.0025948627826165604,781.328125,1216326,2783674,30.40815,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile29.tif","(2000, 2000)",uint16,"(0, 65535)","(46, 4095)",600.4252815,554.0,0.002359165380854176,654.931640625,1737766,2262234,43.44415,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile3.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile30.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 308)",48.66356425,0.0,0.0004415774239298982,73.9921875,1314058,2685942,32.85145,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile31.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 275)",5.79958225,0.0,0.00017142340897066487,75.732421875,151997,3848003,3.799925,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile32.tif","(2000, 2000)",uint16,"(0, 65535)","(36, 769)",135.0444735,133.0,0.0006683770664787337,137.646484375,1562420,2437580,39.0605,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile33.tif","(2000, 2000)",uint16,"(0, 65535)","(58, 3773)",482.709678,487.0,0.002010404962073568,457.072265625,2242147,1757853,56.053675000000005,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile4.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2423)",4.1538405,0.0,0.00028436807633801855,4.732421875,28804,3971196,0.7201,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile42.tif","(2000, 2000)",uint16,"(0, 65535)","(104, 4095)",601.43746775,600.0,0.002315140994305426,595.080078125,2066710,1933290,51.66775,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile44.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",391.572971,152.0,0.0018451048547874433,679.833984375,777000,3223000,19.425,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile45.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 288)",43.00395875,0.0,0.00041297082136561487,69.1875,1226602,2773398,30.66505,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile47.tif","(2000, 2000)",uint16,"(0, 65535)","(36, 3289)",142.17905125,133.0,0.0007201848143593907,664.998046875,19393,3980607,0.484825,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile56.tif","(2000, 2000)",uint16,"(0, 65535)","(178, 4095)",625.19525725,600.0,0.002358971968961013,690.576171875,1135388,2864612,28.384700000000002,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile58.tif","(2000, 2000)",uint16,"(0, 65535)","(123, 4095)",750.061997,598.0,0.0026521996755944823,1527.1640625,264198,3735802,6.60495,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile6.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2128)",15.6836175,0.0,0.00045236658043296926,203.65625,151565,3848435,3.7891250000000003,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile61.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 299)",131.81803175,131.0,0.0006639276335279759,133.732421875,1758046,2241954,43.95115,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile69.tif","(2000, 2000)",uint16,"(0, 65535)","(229, 4062)",586.7415885,572.0,0.002310175233760462,610.802734375,1459523,2540477,36.488074999999995,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile71.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3925)",501.68171975,534.0,0.0021521999131668187,344.970703125,3052081,947919,76.302025,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile73.tif","(2000, 2000)",uint16,"(0, 65535)","(92, 4095)",867.55576875,784.0,0.0028549717047159206,1241.298828125,581372,3418628,14.5343,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile74.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 1223)",62.7685655,0.0,0.0005395509184236346,78.826171875,1523993,2476007,38.099824999999996,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile75.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile76.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 543)",132.9042355,132.0,0.0006728993608039323,132.568359375,1946072,2053928,48.6518,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile77.tif","(2000, 2000)",uint16,"(0, 65535)","(47, 4095)",475.01686375,459.0,0.001968057601684379,481.84375,1924686,2075314,48.117149999999995,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile79.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile80.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile81.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile82.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",143.07820475,0.0,0.001222155067970177,279.931640625,1015306,2984694,25.38265,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile83.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",431.35993375,500.0,0.0020587202941826184,279.931640625,3083809,916191,77.095225,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile84.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",523.43142625,608.0,0.0022923288254378406,327.919921875,3093721,906279,77.343025,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile85.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",314.911038,0.0,0.0018948204093626507,343.916015625,1791883,2208117,44.797075,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile86.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",162.45302475,0.0,0.0014140384910288587,503.876953125,640791,3359209,16.019775,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile87.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",547.084073,499.0,0.00236816952790336,1047.744140625,453636,3546364,11.3409,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile88.tif","(2000, 2000)",uint16,"(0, 65535)","(130, 4095)",1024.0893435,980.0,0.003035087277165041,1206.435546875,1068306,2931694,26.70765,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile89.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",379.78608225,0.0,0.0019442432910613625,1063.740234375,633996,3366004,15.8499,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile90.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile91.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 313)",93.551082,122.0,0.0005744349761719578,65.412109375,2835947,1164053,70.898675,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile92.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 1578)",94.1974515,122.0,0.0005649071728573397,64.72265625,2868145,1131855,71.703625,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile93.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 616)",87.9635195,119.0,0.0005580364860345114,63.765625,2689162,1310838,67.22905,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile94.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile97.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 0)",0.0,0.0,0.0,-0.498046875,4000000,0,100.0,bad
