,Shape,Dtype,Dtype range,Actual range,Mean,Median,Laplace std,Otsu threshold,Pixels above otsu,Pixels below otsu,Percentage above otsu,mode
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile19.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2254)",111.2944645,0.0,0.001055786364957882,206.91015625,1054632,2945368,26.3658,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile20.tif","(2000, 2000)",uint16,"(0, 65535)","(170, 2823)",455.01741925,416.0,0.001983904909250478,610.439453125,419731,3580269,10.493275,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile21.tif","(2000, 2000)",uint16,"(0, 65535)","(105, 3029)",460.09266375,445.0,0.001981781983373462,647.5390625,298777,3701223,7.469425,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile22.tif","(2000, 2000)",uint16,"(0, 65535)","(116, 3195)",453.30979425,442.0,0.0019499644814383306,651.216796875,287841,3712159,7.196025000000001,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile23.tif","(2000, 2000)",uint16,"(0, 65535)","(86, 4095)",498.771724,485.0,0.002102107680414972,532.314453125,1563023,2436977,39.075575,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile25.tif","(2000, 2000)",uint16,"(0, 65535)","(265, 4095)",665.89928025,630.0,0.0024638985458549077,870.91796875,345593,3654407,8.639825,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile27.tif","(2000, 2000)",uint16,"(0, 65535)","(121, 4095)",747.162519,723.0,0.0026889974309615935,967.02734375,459250,3540750,11.48125,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile37.tif","(2000, 2000)",uint16,"(0, 65535)","(266, 2768)",504.4215,475.0,0.002098378734634489,652.05078125,343018,3656982,8.57545,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile38.tif","(2000, 2000)",uint16,"(0, 65535)","(165, 3048)",518.31746225,500.0,0.002145310125434195,688.669921875,323022,3676978,8.07555,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile41.tif","(2000, 2000)",uint16,"(0, 65535)","(202, 4095)",591.1849865,579.0,0.0023022495839671643,604.986328125,1663803,2336197,41.595075,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile49.tif","(2000, 2000)",uint16,"(0, 65535)","(248, 3232)",516.27176475,498.0,0.0021161383241466835,580.203125,647478,3352522,16.18695,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile51.tif","(2000, 2000)",uint16,"(0, 65535)","(203, 4095)",524.6432405,499.0,0.002136978908118589,697.1015625,256867,3743133,6.4216750000000005,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile53.tif","(2000, 2000)",uint16,"(0, 65535)","(148, 4095)",500.44878175,464.0,0.0021012614915094574,664.501953125,401499,3598501,10.037475,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile55.tif","(2000, 2000)",uint16,"(0, 65535)","(156, 4092)",585.2704545,586.0,0.002263971478603087,578.8125,2039445,1960555,50.986125,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile57.tif","(2000, 2000)",uint16,"(0, 65535)","(198, 4077)",612.59681075,567.0,0.0023242049732322954,1054.107421875,147696,3852304,3.6923999999999997,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile63.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2406)",577.76146625,520.0,0.0022546377413678563,662.58984375,1040989,2959011,26.024725,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile65.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 2726)",391.097047,436.0,0.0018731615412734537,260.88671875,3147829,852171,78.69572500000001,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile68.tif","(2000, 2000)",uint16,"(0, 65535)","(188, 4043)",559.7384385,531.0,0.002237737749229729,602.111328125,1306376,2693624,32.6594,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile70.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3685)",509.37011925,509.0,0.002131535631739471,280.693359375,3704072,295928,92.6018,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile72.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4095)",659.7549875,577.0,0.0024536322632439773,1639.599609375,136478,3863522,3.4119499999999996,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile78.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 4062)",340.5347695,349.0,0.0017483288388142721,325.27734375,2106209,1893791,52.65522500000001,good
"Slide2-2-2_Region0000_Channel647,555,488_Seq0017_555_tile9.tif","(2000, 2000)",uint16,"(0, 65535)","(0, 3052)",251.43868825,146.0,0.001294002886470155,351.6953125,1026997,2973003,25.674924999999998,good
